code,name_kanji,name_kana,name_kana_breakdown,name_kana_notes,name_romaji,prefecture_kanji,prefecture_kana,prefecture_kana_breakdown,prefecture_romaji,latitude,longitude
14591,美瑛町,びえいちょう,"び,えい,ちょう",,Biei Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.58333333,142.4666667
14605,上富良野町,かみふらのちょう,"かみ,ふ,ら,の,ちょう",,Kamifurano Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.45,142.4666667
14613,中富良野町,なかふらのちょう,"なか,ふ,ら,の,ちょう",,Nakafurano Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.4,142.4166667
14621,南富良野町,みなみふらのちょう,"みなみ,ふ,ら,の,ちょう",,Minamifurano Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.15,142.5666667
14630,占冠村,しむかっぷむら,"しむ,かっぷ,むら",,Shimukappu Mura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.96666667,142.3833333
14648,和寒町,わっさむちょう,"わっ,さむ,ちょう",,Wassamu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.01666667,142.4
14656,剣淵町,けんぶちちょう,"けん,ぶち,ちょう",,Kenbuchi Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.08333333,142.35
14681,下川町,しもかわちょう,"しも,かわ,ちょう",,Shimokawa Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.3,142.6333333
14699,美深町,びふかちょう,"び,ふか,ちょう",,Bifuka Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.46666667,142.3333333
14702,音威子府村,おといねっぷむら,"おと,い,ねっ,ぷ,むら",,Otoineppu Mura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.71666667,142.25
14711,中川町,なかがわちょう,"なか,がわ,ちょう",,Nakagawa Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.8,142.0666667
14729,幌加内町,ほろかないちょう,"ほろ,か,ない,ちょう",,Horokanai Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44,142.15
14818,増毛町,ましけちょう,"まし,け,ちょう",,Mashike Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.85,141.5166667
14826,小平町,おびらちょう,"お,びら,ちょう",,Obira Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44,141.65
14834,苫前町,とままえちょう,"とま,まえ,ちょう",,Tomamae Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.3,141.65
14842,羽幌町,はぼろちょう,"は,ぼろ,ちょう",,Haboro Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.35,141.6833333
14851,初山別村,しょさんべつむら,"しょ,さん,べつ,むら",,Shosanbetsu Mura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.51666667,141.75
14869,遠別町,えんべつちょう,"えん,べつ,ちょう",,Enbetsu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.71666667,141.7833333
14877,天塩町,てしおちょう,"て,しお,ちょう",,Teshio Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.88333333,141.7333333
15113,猿払村,さるふつむら,"さる,ふつ,むら",,Sarufutsu Mura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,45.31666667,142.1
15121,浜頓別町,はまとんべつちょう,"はま,とん,べつ,ちょう",,Hamatonbetsu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,45.11666667,142.35
15130,中頓別町,なかとんべつちょう,"なか,とん,べつ,ちょう",,Nakatonbetsu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.96666667,142.2833333
15148,枝幸町,えさしちょう,"え,さし,ちょう",,Esashi Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.93333333,142.5666667
15164,豊富町,とよとみちょう,"とよ,とみ,ちょう",,Toyotomi Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,45.1,141.7666667
15172,礼文町,れぶんちょう,"れ,ぶん,ちょう",,Rebun Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,45.3,141.0333333
15181,利尻町,りしりちょう,"り,しり,ちょう",,Rishiri Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,45.18333333,141.1333333
15199,利尻富士町,りしりふじちょう,"り,しり,ふ,じ,ちょう",,Rishirifuji Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,45.23333333,141.2
15202,幌延町,ほろのべちょう,"ほろ,のべ,ちょう",,Horonobe Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,45.01666667,141.8333333
15431,美幌町,びほろちょう,"び,ほろ,ちょう",,Bihoro Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.81666667,144.1
15440,津別町,つべつちょう,"つ,べつ,ちょう",,Tsubetsu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.7,144.0166667
15458,斜里町,しゃりちょう,"しゃ,り,ちょう",,Shari Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.9,144.6666667
15466,清里町,きよさとちょう,"きよ,さと,ちょう",,Kiyosato Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.83333333,144.5833333
15474,小清水町,こしみずちょう,"こ,し,みず,ちょう",,Koshimizu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.85,144.45
15491,訓子府町,くんねっぷちょう,"くん,ねっ,ぷ,ちょう",,Kunneppu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.71666667,143.7333333
15504,置戸町,おけとちょう,"おけ,と,ちょう",,Oketo Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.66666667,143.5833333
15521,佐呂間町,さろまちょう,"さ,ろ,ま,ちょう",,Saroma Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.01666667,143.7666667
15555,遠軽町,えんがるちょう,"えん,がる,ちょう",,Engaru Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.05,143.5166667
15598,湧別町,ゆうべつちょう,"ゆう,べつ,ちょう",,Yubetsu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.21666667,143.6
15601,滝上町,たきのうえちょう,"たきの,うえ,ちょう",,Takinoue Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.18333333,143.0666667
15610,興部町,おこっぺちょう,"おこっ,ぺ,ちょう",,Okoppe Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.46666667,143.1166667
15628,西興部村,にしおこっぺむら,"にし,おこっ,ぺ,むら",,Nishiokoppe Mura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.31666667,142.9333333
15636,雄武町,おうむちょう,"おう,む,ちょう",,Omu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,44.56666667,142.95
15644,大空町,おおぞらちょう,"おお,ぞら,ちょう",,Ozora Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.9,144.1666667
15717,豊浦町,とようらちょう,"とよ,うら,ちょう",,Toyoura Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.58333333,140.7
15750,壮瞥町,そうべつちょう,"そう,べつ,ちょう",,Sobetsu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.55,140.8833333
15784,白老町,しらおいちょう,"しら,おい,ちょう",,Shiraoi Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.55,141.35
15814,厚真町,あつまちょう,"あつ,ま,ちょう",,Atsuma Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.71666667,141.8666667
15849,洞爺湖町,とうやこちょう,"とう,や,こ,ちょう",,Toyako Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.55,140.75
15857,安平町,あびらちょう,"あ,びら,ちょう",,Abira Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.75,141.8166667
15865,むかわ町,むかわちょう,"むかわ,ちょう",,Mukawa Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.56666667,141.9166667
16012,日高町,ひだかちょう,"ひ,だか,ちょう",,Hidaka Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.46666667,142.0666667
16021,平取町,びらとりちょう,"びら,とり,ちょう",,Biratori Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.58333333,142.1166667
16047,新冠町,にいかっぷちょう,"にい,かっぷ,ちょう",,Niikappu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.35,142.3166667
16071,浦河町,うらかわちょう,"うら,かわ,ちょう",,Urakawa Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.16666667,142.7666667
16080,様似町,さまにちょう,"さま,に,ちょう",,Samani Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.11666667,142.9333333
16098,えりも町,えりもちょう,"えりも,ちょう",,Erimo Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42,143.1333333
16101,新ひだか町,しんひだかちょう,"しん,ひだか,ちょう",,Shinhidaka Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.33333333,142.3666667
16314,音更町,おとふけちょう,"おと,ふけ,ちょう",,Otofuke Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.98333333,143.1833333
16322,士幌町,しほろちょう,"し,ほろ,ちょう",,Shihoro Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.16666667,143.2333333
16331,上士幌町,かみしほろちょう,"かみ,し,ほろ,ちょう",,Kamishihoro Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.21666667,143.2833333
16349,鹿追町,しかおいちょう,"しか,おい,ちょう",,Shikaoi Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.08333333,142.9833333
16357,新得町,しんとくちょう,"しん,とく,ちょう",,Shintoku Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.06666667,142.8333333
16365,清水町,しみずちょう,"し,みず,ちょう",,Shimizu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43,142.8833333
16373,芽室町,めむろちょう,"め,むろ,ちょう",,Memuro Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.9,143.05
16381,中札内村,なかさつないむら,"なか,さつ,ない,むら",,Nakasatsunai Mura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.68333333,143.1166667
16390,更別村,さらべつむら,"さら,べつ,むら",,Sarabetsu Mura,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.65,143.1833333
16411,大樹町,たいきちょう,"たい,き,ちょう",,Taiki Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.48333333,143.2666667
16420,広尾町,ひろおちょう,"ひろ,お,ちょう",,Hiroo Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.28333333,143.3
16438,幕別町,まくべつちょう,"まく,べつ,ちょう",,Makubetsu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.9,143.35
16446,池田町,いけだちょう,"いけ,だ,ちょう",,Ikeda Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.91666667,143.4333333
16454,豊頃町,とよころちょう,"とよ,ころ,ちょう",,Toyokoro Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.8,143.5
16462,本別町,ほんべつちょう,"ほん,べつ,ちょう",,Honbetsu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.11666667,143.6
16471,足寄町,あしょろちょう,"あしょ,ろ,ちょう",Irregular reading: 足寄 (あしょろ) is a blend between 足 (あし)  and 寄 (よろ),Ashoro Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.23333333,143.55
16489,陸別町,りくべつちょう,"りく,べつ,ちょう",,Rikubetsu Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.46666667,143.7333333
16497,浦幌町,うらほろちょう,"うら,ほろ,ちょう",,Urahoro Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.8,143.65
16616,釧路町,くしろちょう,"くし,ろ,ちょう",,Kushiro Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,42.98333333,144.45
16624,厚岸町,あっけしちょう,"あっけ,し,ちょう",,Akkeshi Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.05,144.8333333
16632,浜中町,はまなかちょう,"はま,なか,ちょう",,Hamanaka Cho,北海道,ほっかいどう,"ほっ,かい,どう",Hokkaido,43.06666667,145.1166667
